Objeto,ActivoRender,Colecciones,Xmin_m,AlturaMin_m,Zmin_m,Xmax_m,AlturaMax_m,Zmax_m,DX_m,Altura_m,DZ_m,EscalaX,EscalaY,EscalaZ,Alertas_no_dictamen
Ducha baño mono | boquilla 49,True,GROUND_FLOOR,21.38681792607531,2.3099000453948975,4.542355531360954,21.38961792597547,2.312000036239624,4.545155531261116,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 50,True,GROUND_FLOOR,21.39916800847277,2.3099000453948975,4.5531363426707685,21.401968008372933,2.312000036239624,4.555936342570931,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 51,True,GROUND_FLOOR,21.408578866627067,2.3099000453948975,4.566558831837028,21.41137886652723,2.312000036239624,4.5693588317371905,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 52,True,GROUND_FLOOR,21.414503091480583,2.3099000453948975,4.581843370106071,21.417303091380745,2.312000036239624,4.5846433700062335,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 53,True,GROUND_FLOOR,21.41659736027941,2.3099000453948975,4.598102086689323,21.419397360179573,2.312000036239624,4.600902086589485,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 54,True,GROUND_FLOOR,21.414741510059685,2.3099000453948975,4.614389413502067,21.417541509959847,2.312000036239624,4.6171894134022295,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 55,True,GROUND_FLOOR,21.419481271412224,2.3099000453948975,4.647301190998405,21.422281271312386,2.312000036239624,4.650101190898567,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 56,True,GROUND_FLOOR,21.40932654729113,2.3099000453948975,4.65949630131945,21.412126547191292,2.312000036239624,4.662296301219612,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 57,True,GROUND_FLOOR,21.397102349903435,2.3099000453948975,4.66961764683947,21.399902349803597,2.312000036239624,4.672417646739632,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 58,True,GROUND_FLOOR,21.383226388599724,2.3099000453948975,4.677320951130241,21.386026388499886,2.312000036239624,4.680120951030403,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 59,True,GROUND_FLOOR,21.368171685840935,2.3099000453948975,4.6823430000804365,21.370971685741097,2.312000036239624,4.685142999980599,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 60,True,GROUND_FLOOR,21.352451318409294,2.3099000453948975,4.684513562824577,21.355251318309456,2.312000036239624,4.687313562724739,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 61,True,GROUND_FLOOR,21.33659934392199,2.3099000453948975,4.6837587296031415,21.33939934382215,2.312000036239624,4.686558729503304,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 62,True,GROUND_FLOOR,21.321155542042106,2.3099000453948975,4.680103295948356,21.32395554194227,2.312000036239624,4.682903295848519,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 63,True,GROUND_FLOOR,21.3066463409923,2.3099000453948975,4.673672670032829,21.309446340892464,2.312000036239624,4.676472669932991,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 64,True,GROUND_FLOOR,21.293565744068474,2.3099000453948975,4.664685720112175,21.296365743968636,2.312000036239624,4.667485720012337,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 65,True,GROUND_FLOOR,21.2823600708507,2.3099000453948975,4.653448098804802,21.285160070750862,2.312000036239624,4.656248098704964,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 66,True,GROUND_FLOOR,21.273410791065544,2.3099000453948975,4.640342706348747,21.276210790965706,2.312000036239624,4.643142706248909,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 67,True,GROUND_FLOOR,21.26701926579699,2.3099000453948975,4.625815862324089,21.26981926569715,2.312000036239624,4.628615862224251,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 68,True,GROUND_FLOOR,21.263408654835075,2.3099000453948975,4.610362046863884,21.266208654735237,2.312000036239624,4.613162046764046,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 69,True,GROUND_FLOOR,21.262697213795036,2.3099000453948975,4.594507688190788,21.2654972136952,2.312000036239624,4.59730768809095,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 70,True,GROUND_FLOOR,21.26491164555773,2.3099000453948975,4.578793042805046,21.267711645457894,2.312000036239624,4.581593042705208,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 71,True,GROUND_FLOOR,21.26997565617785,2.3099000453948975,4.563752645161003,21.27277565607801,2.312000036239624,4.566552645061165,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 72,True,GROUND_FLOOR,21.277717584278435,2.3099000453948975,4.5498990952037275,21.280517584178597,2.312000036239624,4.55269909510389,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 73,True,GROUND_FLOOR,21.28787421574816,2.3099000453948975,4.537703508045524,21.290674215648323,2.312000036239624,4.540503507945687,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 74,True,GROUND_FLOOR,21.300098413135856,2.3099000453948975,4.527582162525505,21.30289841303602,2.312000036239624,4.530382162425667,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 75,True,GROUND_FLOOR,21.313972467090935,2.3099000453948975,4.5198793350718915,21.316772466991097,2.312000036239624,4.522679334972054,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 76,True,GROUND_FLOOR,21.329027169849724,2.3099000453948975,4.514856809284538,21.331827169749886,2.312000036239624,4.5176568091847,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 77,True,GROUND_FLOOR,21.344749444629997,2.3099000453948975,4.512686246540397,21.34754944453016,2.312000036239624,4.51548624644056,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 78,True,GROUND_FLOOR,21.3606014191173,2.3099000453948975,4.513441556598991,21.363401419017464,2.312000036239624,4.516241556499153,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 79,True,GROUND_FLOOR,21.376045220997185,2.3099000453948975,4.517096513416618,21.378845220897347,2.312000036239624,4.51989651331678,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 80,True,GROUND_FLOOR,21.390552514698356,2.3099000453948975,4.5235271393321455,21.39335251459852,2.312000036239624,4.526327139232308,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 81,True,GROUND_FLOOR,21.403633111622185,2.3099000453948975,4.532514566089958,21.406433111522347,2.312000036239624,4.53531456599012,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 82,True,GROUND_FLOOR,21.414838784839958,2.3099000453948975,4.543752187397331,21.41763878474012,2.312000036239624,4.546552187297493,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 83,True,GROUND_FLOOR,21.423789971973747,2.3099000453948975,4.556857579853386,21.42658997187391,2.312000036239624,4.559657579753548,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 84,True,GROUND_FLOOR,21.43017958989367,2.3099000453948975,4.571384423878044,21.43297958979383,2.312000036239624,4.574184423778206,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 85,True,GROUND_FLOOR,21.433792108204216,2.3099000453948975,4.586837762501091,21.436592108104378,2.312000036239624,4.589637762401253,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 86,True,GROUND_FLOOR,21.434501641895622,2.3099000453948975,4.6026921211741865,21.437301641795784,2.312000036239624,4.605492121074349,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 87,True,GROUND_FLOOR,21.432287210132927,2.3099000453948975,4.618407243397087,21.43508721003309,2.312000036239624,4.621207243297249,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | boquilla 88,True,GROUND_FLOOR,21.42722319951281,2.3099000453948975,4.63344764104113,21.43002319941297,2.312000036239624,4.636247640941292,0.00279999990016222,0.0020999908447265625,0.00279999990016222,1.0,1.0,1.0,
Ducha baño mono | conexión vertical,True,GROUND_FLOOR,21.34300038125366,2.322000026702881,4.5929999044165015,21.357000381685793,2.369999885559082,4.606999904848635,0.014000000432133675,0.04799985885620117,0.014000000432133675,1.0,1.0,1.0,
Losa entre plantas,True,UPPER_FLOOR,14.0,2.9999999031424522,-0.0,22.0,3.1999999061226845,12.0,8.0,0.20000000298023224,12.0,1.0,1.0,1.0,
Piso vivienda,True,UPPER_FLOOR,14.224999904632568,3.1999999042600393,6.224999904632568,21.77500009536743,3.2499999050050974,11.775000095367432,7.550000190734863,0.05000000074505806,5.550000190734863,1.0,1.0,1.0,
